variable;empresa;año;valor;tipo
external_audit;Cellnex;2020;1;cualitativo
2030_commitment;Cellnex;2020;1;cualitativo
biodiversity_commitment;Cellnex;2020;1;cualitativo
climate_strategy;Cellnex;2020;0;cualitativo
recognized_env_standard;Cellnex;2020;1;cualitativo
energy_management;Cellnex;2020;1;cualitativo
external_audit;Acerinox;2017;1;cualitativo
2030_commitment;Acerinox;2017;0;cualitativo
biodiversity_commitment;Acerinox;2017;0;cualitativo
climate_strategy;Acerinox;2017;0;cualitativo
water_management;Acerinox;2017;0;cualitativo
recognized_env_standard;Acerinox;2017;1;cualitativo
energy_management;Acerinox;2017;0;cualitativo
ard_management;Acerinox;2017;1;cualitativo
external_audit;Acerinox;2018;0;cualitativo
2030_commitment;Acerinox;2018;0;cualitativo
biodiversity_commitment;Acerinox;2018;0;cualitativo
climate_strategy;Acerinox;2018;0;cualitativo
water_management;Acerinox;2018;0;cualitativo
recognized_env_standard;Acerinox;2018;1;cualitativo
energy_management;Acerinox;2018;0;cualitativo
ard_management;Acerinox;2018;0;cualitativo
external_audit;Acerinox;2019;1;cualitativo
2030_commitment;Acerinox;2019;0;cualitativo
biodiversity_commitment;Acerinox;2019;0;cualitativo
climate_strategy;Acerinox;2019;0;cualitativo
water_management;Acerinox;2019;0;cualitativo
recognized_env_standard;Acerinox;2019;1;cualitativo
energy_management;Acerinox;2019;0;cualitativo
ard_management;Acerinox;2019;0;cualitativo
external_audit;Acerinox;2020;1;cualitativo
2030_commitment;Acerinox;2020;1;cualitativo
biodiversity_commitment;Acerinox;2020;0;cualitativo
climate_strategy;Acerinox;2020;0;cualitativo
water_management;Acerinox;2020;1;cualitativo
recognized_env_standard;Acerinox;2020;1;cualitativo
energy_management;Acerinox;2020;1;cualitativo
ard_management;Acerinox;2020;0;cualitativo
external_audit;Acerinox;2021;0;cualitativo
2030_commitment;Acerinox;2021;1;cualitativo
biodiversity_commitment;Acerinox;2021;1;cualitativo
climate_strategy;Acerinox;2021;1;cualitativo
water_management;Acerinox;2021;1;cualitativo
recognized_env_standard;Acerinox;2021;0;cualitativo
