variable;empresa;año;valor;tipo
external_audit;Cellnex;2020;1;cualitativo
2030_commitment;Cellnex;2020;1;cualitativo
waste_management;Cellnex;2020;1;cualitativo
biodiversity_commitment;Cellnex;2020;1;cualitativo
climate_strategy;Cellnex;2020;1;cualitativo
water_management;Cellnex;2020;1;cualitativo
recognized_env_standard;Cellnex;2020;1;cualitativo
energy_management;Cellnex;2020;1;cualitativo
%_renewable_energy;Cellnex;2020;0.4;cuantitativo
%_reduction_co2_2030;Cellnex;2021;0.7;cuantitativo
%_reduction_co2_2030;Cellnex;2020;0.5;cuantitativo
external_audit;Cellnex;2021;1;cualitativo
2030_commitment;Cellnex;2021;1;cualitativo
waste_management;Cellnex;2021;1;cualitativo
biodiversity_commitment;Cellnex;2021;1;cualitativo
climate_strategy;Cellnex;2021;1;cualitativo
water_management;Cellnex;2021;0;cualitativo
recognized_env_standard;Cellnex;2021;1;cualitativo
energy_management;Cellnex;2021;1;cualitativo
%_renewable_energy;Cellnex;2021;0.45;cuantitativo
external_audit;Rovi;2020;1;cualitativo
2030_commitment;Rovi;2020;0;cualitativo
waste_management;Rovi;2020;1;cualitativo
biodiversity_commitment;Rovi;2020;1;cualitativo
climate_strategy;Rovi;2020;0;cualitativo
water_management;Rovi;2020;0;cualitativo
recognized_env_standard;Rovi;2020;1;cualitativo
energy_management;Rovi;2020;1;cualitativo
%_renewable_energy;Rovi;2020;0;cuantitativo
%_reduction_co2_2030;Rovi;2020;0;cuantitativo
external_audit;Rovi;2021;1;cualitativo
2030_commitment;Rovi;2021;1;cualitativo
waste_management;Rovi;2021;1;cualitativo
biodiversity_commitment;Rovi;2021;1;cualitativo
climate_strategy;Rovi;2021;0;cualitativo
water_management;Rovi;2021;1;cualitativo
recognized_env_standard;Rovi;2021;1;cualitativo
energy_management;Rovi;2021;1;cualitativo
%_renewable_energy;Rovi;2021;0;cuantitativo
%_reduction_co2_2030;Rovi;2021;0;cuantitativo
external_audit;Rovi;2019;1;cualitativo
2030_commitment;Rovi;2019;0;cualitativo
waste_management;Rovi;2019;1;cualitativo
